domaine, couleur, appellation, cuvee, 
Domaine Fred et Arnaud Geschickt, Blanc pétillant, Alsace, Obi Wine Keno Bulle, 
Domaine Julien Meyer, Rouge, Alsace Pinot Noir, Les Pierres Chaudes, 
Domaine Kumpf & Meyer, Rouge, Alsace Pinot Noir, Infra-Rouge, 
Domaine René Fleith, Blanc, Alsace Gewurztraminer, Letzenberg (élevé sous voile), 
Domaine René Fleith, Blanc, Alsace Riesling, Dorfburg, 
Domaine Rieffel, Blanc, Alsace Gewurztraminer, Lâcher-Prise, 
Domaine Rieffel, Rouge, Alsace Pinot Noir, Kreuzel  magnum, 
Domaine Rietsch, Blanc, Alsace Grand Cru Wiebelsberg, "W" magnum, 
Château Haut-Marbuzet, Rouge, Saint-Estèphe, -, 
Domaine Magni-Thibaut, Blanc, Sauternes, -, 
Groupe Clinet SARL, Rouge, Bordeaux, Ronan by Clinet, 
Héritage de Belliard, Rouge, Pomerol, -, 
Lycée viticole de Libourne, Rouge, Lalande de Pomerol, Château Réal Caillou, 
Domaine Hubert Lamy, Rouge, Saint-Aubin, Derrière chez Edouard, 
Louis de Sacy, Blanc, Champagne, Grand Cru magnum, 
Louis de Sacy, Blanc, Champagne, Les Courtisols, 
Louis de Sacy, Blanc, Champagne, Tentation, 
Louis de Sacy, Blanc, Champagne, XII magnum, 
Domaine G. Quillot, Blanc, Côtes-du-Jura, -, 
Domaine de Savagny, Blanc, Côtes-du-Jura, Vin de Paille, 
Marcel Cabelier, Blanc, Château Chalon, Vin Jaune, 
Château Romilhac, Rouge, Corbières, Rapsodie, 
Domaine des Terres de Fagayra, Rouge, Maury Grenat, Fagayra rouge, 
Les Vignerons du Triangle d'or, Blanc, Minervois, Imagine$\ldots$, 
Mas de Daumas-Gassac, Rouge, Pays d'Hérault, Vin de Laurence, 
Château du Cèdre, Rouge, Cahors, Le Cèdre, 
Clos Triguedina, Rouge, Cahors, Probus, 
Domaine de Labarthe, Blanc, Gaillac Doux, Les Grains d'Or, 
Les Vignerons du Brulhois, Rouge, Brulhois, Le Vin Noir, 
SCEA Moutoué-Fardet, Rouge, Madiran, Clos Fardet, 
Cave de Tain, Rouge, Hermitage, Epsilon, 
Château La Borie, Rosé, Méditerranée, Alix, 
Domaine Château d'Ampuis, Rouge, Côte-Rôtie, La Landonne, 
Domaine Château d'Ampuis, Rouge, Côte-Rôtie, La Mouline Côte blonde, 
Domaine Château d'Ampuis, Rouge, Côte-Rôtie, La Turque côte brune, 
Domaine Château d'Ampuis, Rouge, Gigondas, -, 
Domaine Louis Chèze, Rouge, Côte-Rôtie, Bellissima, 
Domaine de la Mordorée, Rouge, Châteauneuf-du-Pape, La Reine des Bois, 
Domaine de la Mordorée, Rouge, Lirac, La Plume du Peintre, 
Les vignobles de Seyssuel  , Rouge , Collines-Rhodaniennes, Saxeolum, 
Stéphane Montez, Blanc, Saint-Joseph, Grand Duc de Monteillet, 
